Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,9/26/2015,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Got in late and hadn t eaten 24 hour pizza delivery offered at front desk brilliant at 12pm friendly staff and wifi in room hotel is 15 mins walk from dam square nice to be away from the hussle and bussle in town ,45,1,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",677 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,9/20/2015,7.7,Hotel Arena, United Kingdom , Theres nothing we was unhappy with,7,1403, Really enjoyed our stay at hotel arena staff were fab made us feel really welcome even made us a coffee at 6am whilst waiting fir our taxi to the airport,31,4,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",683 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,09-12-2015,7.7,Hotel Arena, United Kingdom , The rooms were cleaned daily fresh towels etc but the linen on the bed was not changed and had dirty marks on it ,25,1403, Although the hotel is a little from the main centre the hotel itself was outstanding The hotel is currently under construction and expanding its capacity and restaurant bar space I was shocked when we arrived to see a construction site but you couldn t hear any building work from the room and the hotel was impeccable inside Fantastic value for money but I assume once the construction has been completed the hotel will be one of the top places to stay in Amsterdam The bar and restaurant is an added bonus to the hotel and the staff were pleasant and polite The hotel is spectacular and the rooms are modern and very comfortable the previous reviews regarding the bathroom walls are true but we didn t find that an issue I would certainly recommend this hotel to anyone especially for the location as many trams lead to the centre of Amsterdam in only 7 10 minutes ,158,2,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",691 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,09-11-2015,7.7,Hotel Arena, United Kingdom , n a,3,1403, This is a fantastic place to stay and felt like true luxury despite the amazingly cheap price that we paid for our stay There is work going on at the moment but we were given free drinks which were delicious and would both love to return to see the hotel when all the work is finished as it is such a fantastic place to stay that is steeped with history Also the shower was incredible ,77,5,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",692 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,09-05-2015,7.7,Hotel Arena, Germany ,"
Zur Straßenbahnhaltestelle mit Anbindung an die Innenstadt ist es nur ein kleiner Spaziergang ",19,1403,"Alles Das freundliche Personal Super bequemes Bett Wir wollten morgens nicht aufstehen Es war so bequem Die künstlerische Einrichtung der schicken Bar des Hotels Es war wirklich angenehm, im Hotel Arena zu übernachten",41,29,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",698 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/30/2015,7.7,Hotel Arena, United Kingdom , The bathroom needed to be deep cleaned Tiles had water marks no toiletries just champu and shower caps Loads of marks around the room of heavy use needs updating,30,1403, Great historic buildig,4,5,5.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",704 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/27/2015,7.7,Hotel Arena, United Kingdom , There was a problem with the hairdryer in our room The hotel sent a replacement but it couldn t be used in front of a mirror Just a minor detail really but a bit annoying ,37,1403, The hotel was great The rooms were gorgeous and the staff really friendly Our room was beautifully decorated very modern sleek design with a mezzanine and spotlessly clean Drinks in the bar were good and not overly expensive The hotel was perfectly located in a lovely part of town within easy reach of town using ansterdams great public transport or the hotels rental bikes ,66,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",707 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/26/2015,7.7,Hotel Arena, United Kingdom , There were renovations going on that made it quite noisy at times,13,1403, How different it was from other hotels the staff the bar area and the location was good for tram access,21,8,8.3,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",708 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/20/2015,7.7,Hotel Arena, United Kingdom , Small room in 2 levels connected by a very narrow and small steps The room in general shows a lack of maintenance walls courtains etc Very noisy room there where machines working just a few meters far from the window ,42,1403, The terrace lounge The building The location ,9,21,6.7,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",714 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/18/2015,7.7,Hotel Arena, United Kingdom , Our room was above the bar area because the air conditioning was not working we had to have the windows wide open because it was hot so it was quite noisy late at night ,36,1403, The staff were very friendly and very helpful ,10,5,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",716 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/18/2015,7.7,Hotel Arena, United Kingdom , Rooms were not sufficiently cleaned on a daily basis i e no fresh cups provided once used toilet rolls not replaced bit embarrassing having to ask at reception for more ,32,1403, Very comfortable big bed Free wi fi Lovely building and interior,12,1,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ']",716 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,08-11-2015,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, I loved the room There was so much space spanning two floors The staff were super friendly and gave us great advice on locations to visit during our stay in Amsterdam ,33,3,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",723 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,08-04-2015,7.7,Hotel Arena, Netherlands , service of the breakfast team plates were not taken away had more eye to themselves entrance looked poor given the renovation of the other parts of the building ,30,1403, location outside terras,4,43,6.7,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",730 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/31/2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Great restaurant bar very green area you dine literally in the park great place for morning run,18,1,9.6,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/22/2017,7.7,Hotel Arena, India , The beds were a little small and very low ,11,1403,No Positive,0,7,7.5,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",12 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/19/2017,7.7,Hotel Arena, United Kingdom , House keeping making up rooms and replacing toiletries was very sporadic ,13,1403, Outside areas staff deco and art,7,5,9.6,"[' Leisure trip ', ' Family with young children ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",15 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-10-2017,7.7,Hotel Arena, United Kingdom , Minimal space around the bed,6,1403, Breakfast was very good but it wasn t included in the price of the room Right by the Ostpark which is very pleasant,24,28,5.8,"[' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",24 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-10-2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Super stylish hotel next to a lovely park Close enough to the city centre but far enough if you get me ,23,4,9.6,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",24 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-06-2017,7.7,Hotel Arena, France ,No Negative,0,1403, Decor service fresh herb garden ,7,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",28 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-04-2017,7.7,Hotel Arena, United Kingdom , Quite pricey considering breakfast was extra,7,1403, Bed was really comfy easy to access tourism areas using public transport but quiet area ,17,1,6.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",30 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/17/2017,7.7,Hotel Arena, Netherlands , Unusual room layout,4,1403, Beautiful location next to park,6,1,6.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",47 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/13/2017,7.7,Hotel Arena, United Kingdom , Room design resulted in limited storage space No milk provided for tea coffee facilities in room,17,1403, Excellent Breakfasts,3,3,7.9,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ']",51 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-05-2017,7.7,Hotel Arena, United Kingdom , Our room was small air con leaked and staff wasn t very helpful ,15,1403, Outside of the hotel was beutiful and the surrounding areas,11,2,5.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",59 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/28/2017,7.7,Hotel Arena, United Kingdom , Nothing ,3,1403, everything ,3,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",97 days,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/24/2017,7.7,Hotel Arena, United Arab Emirates ,No Negative,0,1403, Amazing view to the park not so busy area Nice rooms,12,5,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",101 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/20/2017,7.7,Hotel Arena, New Zealand , shower flooded and room appeared a bit dusty ,10,1403, fantastic building and interior design Added bonus of park setting ,12,2,8.3,"[' Leisure trip ', ' Family with young children ', ' Duplex Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",105 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,04-11-2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Location was superb overlooking oosterpark nice and quiet away from the city centre tram stops very close by and metro not far away ,25,5,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",114 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,04-04-2017,7.7,Hotel Arena, United Kingdom , check in time 3pm,5,1403, location rooms staff,4,8,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",121 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,3/13/2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Excellent room and interesting hotel Great location out of the centre but easy to get to on tram ,20,4,9.2,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",143 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,03-10-2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Stunning rooms and dining area In a lovely location just off a park ,15,9,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",146 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,03-07-2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, The staff were really helpful and the hotel was in a great location ,15,5,10,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",149 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,03-04-2017,7.7,Hotel Arena, United Kingdom , Nearly everything about my stay,6,1403, The only thing I love was that the bed was comfy and the building on the outside everything else I hated,22,1,3.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",152 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,2/15/2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Comfy bed tasty hot chocolates,6,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",169 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,2/13/2017,7.7,Hotel Arena, United Kingdom , Service in the restaurant was very slow and not the best ,13,1403, Beautiful hotel with views of the park Transport links are very close and excellent,15,1,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",171 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,02-08-2017,7.7,Hotel Arena, United Kingdom , I booked a twin room so thought there would be twin beds but got put in a double room with a double bed,24,1403,No Positive,0,2,8.3,"[' Leisure trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",176 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,02-05-2017,7.7,Hotel Arena, Netherlands ,No Negative,0,1403, They gave us an upgrade of the room Beautifull sort of attic room complete white very very nice ,20,3,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",179 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,02-03-2017,7.7,Hotel Arena, United Kingdom , Nothing ,3,1403, Loved the lay out and design of the hotel ,11,1,10,"[' Leisure trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",181 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,02-02-2017,7.7,Hotel Arena, United Kingdom , The wifi did not work in our room ,10,1403, Great location lovely helpful staff very pretty and modern hotel ,12,1,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",182 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,1/30/2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Bed extra comfy,4,1,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",185 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,1/24/2017,7.7,Hotel Arena, United Kingdom , Wifi service wasn t great and we couldn t actually connect ,13,1403, Large clean rooms with a nice size comfy bed All round just very clean ,16,2,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",191 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,01-04-2017,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, comfort and cleanliness,4,1,7.9,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",211 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,12/27/2016,7.7,Hotel Arena, Netherlands , Breakfast poor ,4,1403, Great hotel with beautiful interior,6,17,7.5,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",219 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,12-06-2016,7.7,Hotel Arena, United Kingdom , Nothing it was perfect,5,1403, Very clean and tidy hotel Very Comfortable bed everything was great,12,11,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",240 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,11/28/2016,7.7,Hotel Arena, United Kingdom , Location ongoing refurbishment decor ,6,1403, Comfortable big bed room swaped without issues ,9,1,5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",248 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,11/27/2016,7.7,Hotel Arena, France ,Hôtel en cours de rénovation,5,1403,Petit-déjeuner,2,23,6.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']",249 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,11-07-2016,7.7,Hotel Arena, United Kingdom , Customer service and cleanliness of rooms ,8,1403, Unique room design beautiful place ,7,1,5.4,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 3 nights ']",269 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/26/2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, The bed was incredible ,6,2,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",281 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/19/2016,7.7,Hotel Arena, United States of America , Hotel is currently under renovation so not looking very nice from outside ,14,1403, nice location super helpful front desk staff ,9,2,8.8,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 9 nights ']",288 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10/18/2016,7.7,Hotel Arena, United Kingdom , Renovations taking place which were not communicated foul smell outside our room things left from previous guest,18,1403, Nothing in particular stood out,6,1,4.6,"[' Leisure trip ', ' Group ', ' Large King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",289 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,10-06-2016,7.7,Hotel Arena, United Kingdom , Could hear other people shutting doors but didn t bother us much at all,15,1403, The room was so clean and tidy the bed was amazingly comfey and so big,16,2,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",301 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/27/2016,7.7,Hotel Arena, United Kingdom , traffic noise in some rooms ,7,1403, great service good location for city centre good food very unusual minimalist room decor,15,1,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ']",341 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,8/14/2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Excellent quality hotel Friendly staff great location lovely facilities Overall great hotel Would definately stay here again ,19,2,10,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",354 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,08-08-2016,7.7,Hotel Arena, Netherlands , You can hear doors opening and closing Other than that I had a pleasant night ,17,1403,No Positive,0,1,6.7,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ']",360 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,08-07-2016,7.7,Hotel Arena, United States of America , Construction,2,1403, Staff extremely helpful and knowledgeable,6,2,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",361 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/29/2016,7.7,Hotel Arena, United States of America ,No Negative,0,1403, The Arena was a wonderful experience The room was comfortable and beautiful I have been telling everyone about my stay ,22,1,10,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 6 nights ']",370 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/26/2016,7.7,Hotel Arena, United States of America , No problems,3,1403, Nice variety of foods Good coffee,7,1,7.9,"[' Business trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",373 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/26/2016,7.7,Hotel Arena, United States of America , The construction,3,1403, Friendly and helpful staff,5,1,6.7,"[' Business trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",373 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/23/2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, Patio area outside was lovely Our room got upgraded ,11,1,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",376 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7/19/2016,7.7,Hotel Arena, United Kingdom , It s just a little bit out of the centre About 30 min walk to the centre ,19,1403, We loved this hotel And our beautiful hotel room ,11,1,9.2,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",380 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,07-07-2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, It s was a beautiful place amazing architecture and a room upgrade ,14,3,10,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",392 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,6/26/2016,7.7,Hotel Arena, United Kingdom , The glass wall in the bathroom,7,1403, The spacious room,4,1,7.5,"[' Business trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",403 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-04-2016,7.7,Hotel Arena, United Kingdom , It will be better once the improvement work is complete ,12,1403, Very comfortable bed Building full of character ,9,3,7.9,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 3 nights ']",425 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-03-2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, We stayed in a studio room The room was spacious It was clean the bed was very comfortable The staff were helpful polite and professional ,27,6,8.8,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",426 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/30/2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, breakfast,2,1,3.8,"[' Leisure trip ', ' Family with older children ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",430 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/29/2016,7.7,Hotel Arena, New Zealand ,No Negative,0,1403, Very nice and comfirtable hotel i personally like it Thank you front desk staff Cheers,16,5,10,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",431 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/21/2016,7.7,Hotel Arena, United Kingdom ,No Negative,0,1403, The staff were lovely and the bed was huge Very accommodating and not so far from the city centre,20,10,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",439 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/19/2016,7.7,Hotel Arena, United Kingdom , Staff ripped us off with prices,7,1403,No Positive,0,1,2.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",441 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,5/13/2016,7.7,Hotel Arena, United Kingdom , Building site Surly staff Dodgy electrics Cold room,9,1403, Food was ok,4,1,4.2,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 7 nights ']",447 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,05-03-2016,7.7,Hotel Arena, Netherlands , n a,3,1403, location size of the room large bathroom breakfast was ok,11,43,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ']",457 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/25/2016,7.7,Hotel Arena, France ,La réceptionniste était plutôt froide,7,1403,La conception de la chambre duplex,6,12,9.6,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']",465 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/19/2016,7.7,Hotel Arena, United Kingdom , Window and blinds was broken in our room ,10,1403, Bed was very comfy Clean room nice hotel,9,1,7.1,"[' Leisure trip ', ' Group ', ' Large King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",471 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,4/14/2016,7.7,Hotel Arena, United States of America , Bathroom smell Too much construction No storage space ,10,1403, Not much,3,1,3.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",476 day,52.3605759,4.9159683
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,04-10-2016,7.7,Hotel Arena, United Kingdom , The construction on the premises the noise from the road and the poor air conditioning,16,1403, We liked the split level room,7,3,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",480 day,52.3605759,4.9159683
